group,team,P1,P2,P3,P4,qualify,xPts,xGD
A,Mexico,0.602,0.281,0.112,0.005,0.882,6.54,3.15
A,South Korea,0.345,0.488,0.144,0.023,0.833,5.99,1.41
A,Czech Republic,0.046,0.171,0.536,0.247,0.218,2.86,-0.79
A,South Africa,0.007,0.06,0.208,0.726,0.067,1.55,-3.77
B,Switzerland,0.543,0.3,0.127,0.03,0.843,6.17,3.31
B,Canada,0.33,0.396,0.215,0.06,0.725,5.3,1.88
B,Bosnia and Herzegovina,0.111,0.242,0.447,0.2,0.354,3.62,-0.75
B,Qatar,0.016,0.062,0.211,0.71,0.078,1.54,-4.45
C,Brazil,0.702,0.216,0.072,0.01,0.918,6.92,5.01
C,Morocco,0.195,0.454,0.279,0.071,0.649,4.82,1.13
C,Scotland,0.094,0.277,0.455,0.173,0.371,3.67,-0.7
C,Haiti,0.008,0.053,0.194,0.745,0.061,1.36,-5.44
D,United States,0.368,0.29,0.21,0.132,0.658,4.93,1.21
D,Turkey,0.359,0.292,0.216,0.134,0.651,4.89,1.14
D,Paraguay,0.178,0.25,0.302,0.27,0.428,3.74,-0.43
D,Australia,0.095,0.168,0.272,0.464,0.263,2.79,-1.92
E,Germany,0.655,0.238,0.099,0.008,0.893,6.77,5.25
E,Ecuador,0.205,0.412,0.336,0.046,0.617,4.92,1.5
E,Ivory Coast,0.137,0.331,0.463,0.07,0.467,4.33,0.56
E,Curaçao,0.003,0.019,0.102,0.877,0.022,0.82,-7.31
F,Netherlands,0.523,0.27,0.142,0.065,0.793,5.8,2.52
F,Japan,0.27,0.334,0.252,0.144,0.604,4.6,0.7
F,Sweden,0.149,0.256,0.336,0.258,0.405,3.66,-0.7
F,Tunisia,0.059,0.139,0.27,0.533,0.198,2.4,-2.52
G,Belgium,0.68,0.213,0.081,0.026,0.893,6.61,3.91
G,Egypt,0.176,0.374,0.286,0.163,0.551,4.24,0.16
G,Iran,0.105,0.28,0.366,0.25,0.385,3.52,-0.97
G,New Zealand,0.038,0.133,0.267,0.561,0.172,2.18,-3.1
H,Spain,0.771,0.197,0.028,0.005,0.967,7.39,6.21
H,Uruguay,0.2,0.575,0.171,0.054,0.775,5.18,1.6
H,Cape Verde,0.015,0.117,0.406,0.462,0.132,2.19,-3.93
H,Saudi Arabia,0.014,0.111,0.396,0.479,0.125,2.11,-3.89
I,France,0.622,0.265,0.1,0.013,0.887,6.66,4.21
I,Norway,0.256,0.413,0.278,0.054,0.668,5.05,1.74
I,Senegal,0.116,0.286,0.466,0.132,0.401,3.94,-0.29
I,Iraq,0.007,0.036,0.157,0.8,0.043,1.15,-5.66
J,Argentina,0.674,0.229,0.08,0.017,0.903,6.76,4.25
J,Austria,0.212,0.421,0.281,0.086,0.633,4.74,1.07
J,Algeria,0.099,0.286,0.439,0.176,0.385,3.72,-0.59
J,Jordan,0.015,0.065,0.199,0.721,0.079,1.49,-4.73
K,Portugal,0.589,0.305,0.083,0.022,0.895,6.47,3.91
K,Colombia,0.344,0.452,0.155,0.049,0.796,5.54,2.2
K,DR Congo,0.039,0.138,0.416,0.407,0.177,2.54,-2.69
K,Uzbekistan,0.028,0.105,0.346,0.522,0.133,2.13,-3.43
L,England,0.661,0.238,0.078,0.024,0.899,6.63,4.04
L,Croatia,0.244,0.444,0.219,0.093,0.688,4.9,1.12
L,Ghana,0.058,0.189,0.393,0.36,0.248,2.87,-2.06
L,Panama,0.037,0.129,0.311,0.524,0.166,2.23,-3.1
